CODIGO,TIPO,PARADAS
38308,PROXIMDAD,PALENCIA | VENTA DE BAÑOS | DUEÑAS | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE | MEDINA DEL CAMPO
18218,PROXIMDAD,PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE | VIANA | VALDESTILLAS | MATAPOZUELOS | POZALDEZ | MEDINA DEL CAMPO
18212,PROXIMDAD,PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
12100,REGIONAL,GIJÓN-SANZ CRESPO | CALZADA DE ASTURIAS | OVIEDO | LLAMAQUIQUE | MIERES-PUENTE | UJO | POLA DE LENA | CAMPOMANES | PUENTE DE LOS FIERROS | LINARES-CONGOSTINAS | BUSDONGO | VILLAMANÍN | SANTA LUCÍA | LA POLA DE GORDÓN | LA ROBLA | LEÓN | PALANQUINOS | EL BURGO RANERO | SAHAGÚN | GRAJAL | VILLADA | PAREDES DE NAVA | BECERRIL | GRIJOTA | PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
18104,REG.EXP.,SANTANDER | VALDECILLA | MALIAÑO | RENEDO | TORRELAVEGA | LOS CORRALES DE BUELNA | BÁRCENA | REINOSA | MATAPORQUERA | AGUILAR DE CAMPOO | ALAR DEL REY | HERRERA DE PISUERGA | ESPINOSA DE VILLAGONZALO | OSORNO | FRÓMISTA | PIÑA | EL CARRIÓN | PALENCIA | VENTA DE BAÑOS | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
38104,PROXIMDAD,PALENCIA | VENTA DE BAÑOS | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
18105,REG.EXP.,VALLADOLID-CAMPO GRANDE | VALLADOLID UNIVERSIDAD | CABEZÓN DEL PISUERGA | CORCOS-AGUILAREJO | CUBILLAS DE SANTA MARTA | DUEÑAS | VENTA DE BAÑOS | PALENCIA | MONZÓN DE CAMPOS | EL CARRIÓN | AMUSCO | PIÑA | FRÓMISTA | OSORNO | ESPINOSA DE VILLAGONZALO | HERRERA DE PISUERGA | ALAR DEL REY | MAVE | AGUILAR DE CAMPOO | QUINTANILLA DE LAS TORRES | MATAPORQUERA | REINOSA | BÁRCENA | LOS CORRALES DE BUELNA | TORRELAVEGA | RENEDO | MALIAÑO | VALDECILLA | SANTANDER
18101,REG.EXP.,VALLADOLID-CAMPO GRANDE | VALLADOLID UNIVERSIDAD | CABEZÓN DEL PISUERGA | CORCOS-AGUILAREJO | CUBILLAS DE SANTA MARTA | DUEÑAS | VENTA DE BAÑOS | PALENCIA | EL CARRIÓN | PIÑA | FRÓMISTA | OSORNO | ESPINOSA DE VILLAGONZALO | HERRERA DE PISUERGA | ALAR DEL REY | AGUILAR DE CAMPOO | MATAPORQUERA | REINOSA | BÁRCENA | LOS CORRALES DE BUELNA | TORRELAVEGA | RENEDO | MALIAÑO | VALDECILLA | SANTANDER
18105,REG.EXP.,VALLADOLID-CAMPO GRANDE | VALLADOLID UNIVERSIDAD | CABEZÓN DEL PISUERGA | CORCOS-AGUILAREJO | CUBILLAS DE SANTA MARTA | DUEÑAS | VENTA DE BAÑOS | PALENCIA | MONZÓN DE CAMPOS | EL CARRIÓN | AMUSCO | PIÑA | FRÓMISTA | OSORNO | ESPINOSA DE VILLAGONZALO | HERRERA DE PISUERGA | ALAR DEL REY | MAVE | AGUILAR DE CAMPOO | QUINTANILLA DE LAS TORRES | MATAPORQUERA | REINOSA | BÁRCENA | LOS CORRALES DE BUELNA | TORRELAVEGA | RENEDO | MALIAÑO | VALDECILLA | SANTANDER
18216,PROXIMDAD,PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
18102,REG.EXP.,SANTANDER | VALDECILLA | MALIAÑO | RENEDO | TORRELAVEGA | LOS CORRALES DE BUELNA | BÁRCENA | REINOSA | MATAPORQUERA | QUINTANILLA DE LAS TORRES | AGUILAR DE CAMPOO | MAVE | ALAR DEL REY | HERRERA DE PISUERGA | ESPINOSA DE VILLAGONZALO | OSORNO | FRÓMISTA | PIÑA | AMUSCO | EL CARRIÓN | MONZÓN DE CAMPOS | PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
38102,PROXIMDAD,PALENCIA | VENTA DE BAÑOS | DUEÑAS | CUBILLAS DE SANTA MARTA | CORCOS-AGUILAREJO | CABEZÓN DEL PISUERGA | VALLADOLID UNIVERSIDAD | VALLADOLID-CAMPO GRANDE
