ID,CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCION,CP,POBLACION,PROVINCIA,PAIS
825,40005,VILLAFRANCA DE LOS BARROS,38.5644020,-6.3520480,"Avda. Estación Ferrocarril, S/N",6220,VILLAFRANCA DE LOS BARROS,BADAJOZ,ESPAÑA
826,40006,LOS SANTOS DE MAIMONA,38.4497240,-6.3617490,"C/ Diseminado la Carrasca, 5",6230,SANTOS DE MAIMONA (LOS),BADAJOZ,ESPAÑA
827,40008,ZAFRA FERIA,38.4244030,-6.4100840,"Barriada Antono Zodo, S/N",6300,ZAFRA,BADAJOZ,ESPAÑA
828,40100,ZAFRA,38.4136350,-6.4050830,"Avda. Estación Ferrocarril, S/N",6300,ZAFRA,BADAJOZ,ESPAÑA
829,40105,LLERENA,38.2370000,-6.0090170,"Avda. Estación Ferrocarril, 6",6900,LLERENA,BADAJOZ,ESPAÑA
830,40107,FUENTE DEL ARCO,38.1635300,-5.9004840,"Ctra. Bav - 1618 --- Estación Ferrocarril, S/N",6980,FUENTE DEL ARCO,BADAJOZ,ESPAÑA
831,40108,GUADALCANAL,38.0901970,-5.8033880,"Ctra. Se - 165 --- Estación Ferrocarril, S/N",41390,GUADALCANAL,SEVILLA,ESPAÑA
837,42002,MEDINA DE LAS TORRES,38.3428170,-6.4091280,,,MEDINA DE LAS TORRES,BADAJOZ,ESPAÑA
838,42003,VALENCIA DEL VENTOSO,38.2578120,-6.4562060,,,VALENCIA DEL VENTOSO,BADAJOZ,ESPAÑA
839,42005,FREGENAL DE LA SIERRA,38.1676130,-6.6379090,"Ctra. Ex - 201 --- Estación Ferrocarril, S/N",6340,FREGENAL DE LA SIERRA,BADAJOZ,ESPAÑA
840,42006,CUMBRES MAYORES,38.0531260,-6.6315530,"Ctra. A - 5300 --- Estación Ferrocarril, S/N",21380,CUMBRES MAYORES,HUELVA,ESPAÑA
841,42008,JABUGO-GALAROZA,37.9282430,-6.7739080,"C/ Roman Talero, 34",21360,JABUGO,HUELVA,ESPAÑA
842,42009,ALMONASTER-CORTEGANA,37.9011740,-6.7973720,"C/ Aldea Estación Almter, S/N",21342,ALMONASTER LA REAL,HUELVA,ESPAÑA
843,42010,GIL MÁRQUEZ,37.8574010,-6.8508390,,,ALMONASTER LA REAL,HUELVA,ESPAÑA
844,42012,VALDELAMUSA,37.7871110,-6.8737290,"Ctra. Hu-6102 - Estación Ferrocarril, S/N",21330,CORTEGANA,HUELVA,ESPAÑA
845,42013,EL TAMUJOSO,37.7203390,-6.9005540,"Ctra. Hu - 5101 --- Estación Ferrocarril, S/N",21320,CERRO DE ANDÉVALO (EL),HUELVA,ESPAÑA
846,42015,CALAÑAS,37.6520070,-6.8758410,"Paseo Ramon Regajo, S/N",21300,CALAÑAS,HUELVA,ESPAÑA
847,42016,LOS MILANOS,37.5862190,-6.9199380,"Ctra. H - 9020 --- Estación Ferrocarril, S/N",21300,CALAÑAS,HUELVA,ESPAÑA
