codigo,label,poblacion,coordenadas
02058,Paterna del Madera,328,Point(-2.345833333 38.597222222)
02059,Peñascosa,329,Point(-2.410833333 38.671111111)
02060,Peñas de San Pedro,1488,Point(-2.0019637 38.7266169)
02061,Pétrola,660,Point(-1.5563201 38.8264178)
02062,Povedilla,374,Point(-2.6036244 38.7002967)
02063,Pozohondo,1544,Point(-1.9117449 38.720703)
02064,Pozo-Lorente,398,Point(-1.506666666 39.076666666)
02065,Pozuelo,455,Point(-2.079017742 38.8156503)
02066,La Recueja,215,Point(-1.490833333 39.175277777)
02067,Riópar,1344,Point(-2.4178567 38.4984626)
02068,Robledo,382,Point(-2.448888888 38.759166666)
02069,La Roda,15643,Point(-2.16038 39.206959)
02070,Salobre,442,Point(-2.543372588 38.57802045)
02071,San Pedro,1155,Point(-2.188485163 38.791067)
02072,Socovos,1643,Point(-1.9836294 38.333635)
02073,Tarazona de la Mancha,6100,Point(-1.912777777 39.265)
02074,Tobarra,8006,Point(-1.683055555 38.583055555)
02075,Valdeganga,1970,Point(-1.672708853 39.1126453)
02076,Vianos,317,Point(-2.49324046 38.59185085)
02077,Villa de Ves,51,Point(-1.2601851 39.2223954)
02078,Villalgordo del Júcar,1159,Point(-2.0630918 39.2959868)
02079,Villamalea,4083,Point(-1.539783633 39.3619049)
02080,Villapalacios,539,Point(-2.6345734 38.5747869)
02081,Villarrobledo,25400,Point(-2.6 39.266666666)
02082,Villatoya,114,Point(-1.338611111 39.333888888)
02083,Villavaliente,190,Point(-1.4565068 39.126247)
02084,Villaverde de Guadalimar,325,Point(-2.516666666 38.456944444)
02085,Viveros,293,Point(-2.574971 38.7727417)
02086,Yeste,2471,Point(-2.321388888 38.365277777)
02901,Pozo Cañada,2704,Point(-1.7357987 38.8048432)
03001,Adsubia,589,Point(-0.151944444 38.846944444)
03001,Adsubia,589,Point(-0.151944444 38.846944444)
03002,Agost,5225,Point(-0.639444444 38.439166666)
03002,Agost,5225,Point(-0.639444444 38.439166666)
03003,Agres,623,Point(-0.516111111 38.779722222)
03003,Agres,623,Point(-0.516111111 38.779722222)
03004,Aguas de Busot,1199,Point(-0.362777777 38.498888888)
03004,Aguas de Busot,1199,Point(-0.362777777 38.498888888)
03005,Albatera,13566,Point(-0.868055555 38.178611111)
03005,Albatera,13566,Point(-0.868055555 38.178611111)
03006,Alcalalí,1428,Point(-0.041666666 38.749444444)
03006,Alcalalí,1428,Point(-0.041666666 38.749444444)
03007,Alcocer de Planes,263,Point(-0.4025 38.794444444)
03007,Alcocer de Planes,263,Point(-0.4025 38.794444444)
03008,Alcolecha,184,Point(-0.331875 38.675368)
03008,Alcolecha,184,Point(-0.331875 38.675368)
03009,Alcoy,61468,Point(-0.473611111 38.698333333)
03009,Alcoy,61468,Point(-0.473611111 38.698333333)
03010,Alfafara,419,Point(-0.556111111 38.7725)
03010,Alfafara,419,Point(-0.556111111 38.7725)
03011,Alfaz del Pi,21080,Point(-0.101944444 38.579444444)
03011,Alfaz del Pi,21080,Point(-0.101944444 38.579444444)
03012,Algorfa,3788,Point(-0.796944444 38.085833333)
03012,Algorfa,3788,Point(-0.796944444 38.085833333)
03013,Algueña,1328,Point(-1.003611111 38.337777777)
03013,Algueña,1328,Point(-1.003611111 38.337777777)
03014,Alicante,366221,Point(-0.483055555 38.345277777)
03014,Alicante,366221,Point(-0.483055555 38.345277777)
03015,Almoradí,22965,Point(-0.789444444 38.109722222)
03015,Almoradí,22965,Point(-0.789444444 38.109722222)
03016,Almudaina,128,Point(-0.354444444 38.761111111)
03016,Almudaina,128,Point(-0.354444444 38.761111111)
03017,Alquería de Aznar,519,Point(-0.425 38.772222222)
03017,Alquería de Aznar,519,Point(-0.425 38.772222222)
03018,Altea,24592,Point(-0.048888888 38.6)
03018,Altea,24592,Point(-0.048888888 38.6)
03019,Aspe,22397,Point(-0.768888888 38.345833333)
03019,Aspe,22397,Point(-0.768888888 38.345833333)
03020,Balones,132,Point(-0.343055555 38.736666666)
03020,Balones,132,Point(-0.343055555 38.736666666)
03021,Banyeres de Mariola,7347,Point(-0.657222222 38.715833333)
03021,Banyeres de Mariola,7347,Point(-0.657222222 38.715833333)
03022,Benasau,174,Point(-0.343333333 38.689722222)
03022,Benasau,174,Point(-0.343333333 38.689722222)
03023,Benejama,1696,Point(-0.767222222 38.7)
03023,Benejama,1696,Point(-0.767222222 38.7)
