VALLADOLID-CAMPO GRANDE | VALLADOLID UNIVERSIDAD | CABEZÓN DEL PISUERGA | CORCOS-AGUILAREJO | CUBILLAS DE SANTA MARTA | DUEÑAS | VENTA DE BAÑOS | PALENCIA | MONZÓN DE CAMPOS | EL CARRIÓN | AMUSCO | PIÑA | FRÓMISTA | OSORNO | ESPINOSA DE VILLAGONZALO | HERRERA DE PISUERGA | ALAR DEL REY | MAVE | AGUILAR DE CAMPOO | QUINTANILLA DE LAS TORRES | MATAPORQUERA | REINOSA | BÁRCENA | LOS CORRALES DE BUELNA | TORRELAVEGA | RENEDO | MALIAÑO | VALDECILLA | SANTANDER,18105,REG.EXP.
VALLADOLID-CAMPO GRANDE | VALLADOLID UNIVERSIDAD | CABEZÓN DEL PISUERGA | CORCOS-AGUILAREJO | CUBILLAS DE SANTA MARTA | DUEÑAS | VENTA DE BAÑOS | PALENCIA,38105,PROXIMDAD
VALLADOLID-CAMPO GRANDE | PALENCIA | LEÓN | VEGUELLINA | ASTORGA | VEGA-MAGAZ | BRAÑUELAS | TORRE DEL BIERZO | BEMBIBRE | SAN MIGUEL DE LAS DUEÑAS | PONFERRADA,37179,MD
MADRID-CHAMARTÍN-CLARA CAMPOAMOR | SEGOVIA-GUIOMAR | VALLADOLID-CAMPO GRANDE | PALENCIA | LEÓN | VEGUELLINA | ASTORGA | VEGA-MAGAZ | BRAÑUELAS | TORRE DEL BIERZO | BEMBIBRE | SAN MIGUEL DE LAS DUEÑAS | PONFERRADA,04179,Intercity
MADRID-PRÍNCIPE PÍO | VILLALBA DE GUADARRAMA | EL ESCORIAL | ÁVILA | ARÉVALO | MEDINA DEL CAMPO | VALLADOLID-CAMPO GRANDE | VENTA DE BAÑOS | PALENCIA | PAREDES DE NAVA | VILLADA | SAHAGÚN | LEÓN,18003,MD
MEDINA DEL CAMPO | VALLADOLID-CAMPO GRANDE | VENTA DE BAÑOS | PALENCIA,38303,PROXIMDAD
VALLADOLID-CAMPO GRANDE | VALLADOLID UNIVERSIDAD | CABEZÓN DEL PISUERGA | CORCOS-AGUILAREJO | CUBILLAS DE SANTA MARTA | DUEÑAS | VENTA DE BAÑOS | PALENCIA,18219,PROXIMDAD
ALICANTE/ALACANT-TERMINAL | VILLENA ALTA VELOCIDAD | ALBACETE-LOS LLANOS | CUENCA-FERNANDO ZÓBEL | MADRID-CHAMARTÍN-CLARA CAMPOAMOR | VALLADOLID-CAMPO GRANDE | PALENCIA | LEÓN | POLA DE LENA | MIERES-PUENTE | OVIEDO | GIJÓN-SANZ CRESPO,04181,ALVIA
MEDINA DEL CAMPO | VALLADOLID-CAMPO GRANDE | VENTA DE BAÑOS | PALENCIA,38065,PROXIMDAD
MADRID-PRÍNCIPE PÍO | VILLALBA DE GUADARRAMA | EL ESCORIAL | ZARZALEJO | ROBLEDO DE CHAVELA | SANTA MARÍA DE LA ALAMEDA-PEGUERINOS | LAS NAVAS DEL MARQUÉS | NAVALPERAL | HERRADÓN-LA CAÑADA | ÁVILA | ARÉVALO | MEDINA DEL CAMPO | VALLADOLID-CAMPO GRANDE | VENTA DE BAÑOS | PALENCIA,18065,MD
VALLADOLID-CAMPO GRANDE | PALENCIA | AGUILAR DE CAMPOO | REINOSA | TORRELAVEGA | SANTANDER,37193,MD
MADRID-CHAMARTÍN-CLARA CAMPOAMOR | VALLADOLID-CAMPO GRANDE | PALENCIA | AGUILAR DE CAMPOO | REINOSA | TORRELAVEGA | SANTANDER,04193,ALVIA
MADRID-PRÍNCIPE PÍO | VILLALBA DE GUADARRAMA | EL ESCORIAL | ZARZALEJO | ROBLEDO DE CHAVELA | SANTA MARÍA DE LA ALAMEDA-PEGUERINOS | LAS NAVAS DEL MARQUÉS | NAVALPERAL | HERRADÓN-LA CAÑADA | ÁVILA | ARÉVALO | MEDINA DEL CAMPO | VALLADOLID-CAMPO GRANDE | VENTA DE BAÑOS | PALENCIA | PAREDES DE NAVA | VILLADA | SAHAGÚN | LEÓN,18005,MD
MEDINA DEL CAMPO | VALLADOLID-CAMPO GRANDE | VENTA DE BAÑOS | PALENCIA,38005,PROXIMDAD
ALICANTE/ALACANT-TERMINAL | ALBACETE-LOS LLANOS | CUENCA-FERNANDO ZÓBEL | MADRID-CHAMARTÍN-CLARA CAMPOAMOR | VALLADOLID-CAMPO GRANDE | PALENCIA | LEÓN,05183,AVE
MADRID-PRÍNCIPE PÍO | VILLALBA DE GUADARRAMA | EL ESCORIAL | ZARZALEJO | ROBLEDO DE CHAVELA | SANTA MARÍA DE LA ALAMEDA-PEGUERINOS | LAS NAVAS DEL MARQUÉS | NAVALPERAL | HERRADÓN-LA CAÑADA | ÁVILA | ARÉVALO | MEDINA DEL CAMPO | VALLADOLID-CAMPO GRANDE | DUEÑAS | VENTA DE BAÑOS | PALENCIA,18007,MD
